state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
ID,2013-11-01,322832.358,3445.513,383321.163,0.0,65163.382,0.0,242945.916,1673928,7.1656818181818185,6.997954545454545,4.929318181818181,8.861590909090909
ID,2013-12-01,459394.461,4000.356,419331.027,0.0,60499.485,0.0,165449.923,1676191,7.314772727272726,6.8675,5.264772727272727,8.628636363636362
IL,2013-01-01,8303624.806,0.0,7074.638,8695362.0,79321.201,1763.37,1184614.565,12825043,7.519772727272727,7.296136363636363,5.348636363636364,9.709545454545454
IL,2013-02-01,8036739.358,0.0,10541.096,7387027.0,71446.932,2560.261,880494.904,12824892,7.706136363636363,7.5663636363636355,5.413863636363636,10.110227272727272
IL,2013-03-01,8092171.299,0.0,12225.889,8062070.0,76786.378,3589.289,999112.113,12824741,7.594318181818181,7.529090909090908,5.48840909090909,9.746818181818181
IL,2013-04-01,6923892.748,0.0,11472.653,6840248.0,68659.115,3875.219000000001,1077234.601,12824590,7.678181818181818,7.650227272727273,5.535,10.175454545454544
IL,2013-05-01,6425869.618,0.0,12258.58,8635138.0,77013.46399999999,4388.659,765520.523,12824439,8.097499999999998,8.088181818181818,5.684090909090909,11.079318181818183
IL,2013-06-01,7582289.262,0.0,14294.526,8300340.0,72329.902,5067.846,594489.162,12824288,7.678181818181818,7.482499999999999,5.618863636363637,9.849318181818182
IL,2013-07-01,9104662.516999999,0.0,12058.858,8471071.0,63682.85,4717.45,412604.177,12824137,7.845909090909091,7.687499999999999,5.674772727272726,9.728181818181817
IL,2013-08-01,8885133.842,0.0,8035.461,8603769.0,65406.99,5472.264999999999,323330.854,12823986,7.957727272727271,7.845909090909091,5.684090909090909,9.99840909090909
IL,2013-09-01,8257852.417,0.0,7567.259,7672711.0,78179.312,5452.95,510968.938,12823835,7.529090909090908,7.4638636363636355,5.712045454545454,9.402045454545453
IL,2013-10-01,7633505.362000001,0.0,7297.07,7892743.0,73831.095,5742.286,739141.3859999999,12823684,7.752727272727273,7.696818181818181,5.572272727272727,10.455
IL,2013-11-01,7137488.748,0.0,9577.849,8014444.0,83773.546,4719.397999999999,1208671.889,12823533,7.5663636363636355,7.49181818181818,5.395227272727272,9.886590909090907
IL,2013-12-01,8799978.241,0.0,7891.121,8556513.0,82200.476,4771.007,929045.888,12823382,7.370681818181818,7.268181818181818,5.292727272727272,9.169090909090908
IN,2013-01-01,9904811.603,0.0,29674.286,0.0,56548.815,317.388,450302.159,6576834,7.855227272727272,8.749772727272727,6.056818181818182,9.439318181818182
IN,2013-02-01,8107536.848999999,0.0,29600.721,0.0,54411.323,460.816,276295.372,6579348,7.920454545454545,8.749772727272727,6.187272727272727,9.635
IN,2013-03-01,7987279.149999999,0.0,26686.71,0.0,80123.456,825.132,334491.842,6581862,8.032272727272726,9.02,6.205909090909091,9.905227272727274
IN,2013-04-01,7762055.955,0.0,30045.063,0.0,71097.3,890.865,396279.136,6584377,8.134772727272727,9.131818181818183,6.243181818181818,10.743863636363635
IN,2013-05-01,8137525.713,0.0,36576.946,0.0,49898.164,1008.899,302515.155,6586891,8.078863636363636,8.97340909090909,6.168636363636363,10.865
IN,2013-06-01,8606126.757,0.0,34779.759,0.0,74590.303,1165.037,184391.533,6589406,8.190681818181817,8.9175,6.2524999999999995,10.548181818181817
IN,2013-07-01,10507657.52,0.0,24011.383,0.0,71749.821,1084.483,137648.122,6591920,8.330454545454545,8.880227272727272,6.30840909090909,10.464318181818182
IN,2013-08-01,9628260.787,0.0,47167.777,0.0,81948.062,1258.006,91983.441,6594434,8.330454545454545,8.954772727272726,6.401590909090909,10.464318181818182
IN,2013-09-01,8502689.949000001,0.0,40541.41,0.0,76547.10800000001,1253.566,155402.138,6596949,8.237272727272726,8.982727272727272,6.317727272727272,10.51090909090909
IN,2013-10-01,8351731.843,0.0,42555.897,0.0,72918.106,1320.081,297340.445,6599463,8.209318181818182,9.113181818181816,6.2524999999999995,10.892954545454545
IN,2013-11-01,8419035.665,0.0,31365.527,0.0,67000.165,9934.543,449282.021,6601978,8.14409090909091,9.047954545454546,6.261818181818181,10.417727272727271
IN,2013-12-01,9771437.370000001,0.0,13922.521,0.0,61934.629,11021.184,405161.636,6604492,8.10681818181818,8.861590909090909,6.224545454545454,9.774772727272726
KS,2013-01-01,2647698.121,0.0,998.882,901523.0,4584.905,0.0,727220.174,2879252,8.591363636363637,8.516818181818183,6.6904545454545445,9.970454545454544
KS,2013-02-01,2797473.534,0.0,892.668,72505.0,3817.835,0.0,687279.46,2879959,8.898863636363636,8.964090909090908,6.876818181818181,10.538863636363637
KS,2013-03-01,2422118.729,0.0,1222.456,-7587.0,4634.392,0.0,788997.848,2880665,8.805681818181817,8.945454545454545,6.6625,10.482954545454545
KS,2013-04-01,2269654.078,0.0,1314.962,327330.0,4782.804,0.0,886182.113,2881371,8.936136363636363,8.92681818181818,6.932727272727273,10.846363636363636
KS,2013-05-01,2421360.299,0.0,1409.502,611551.0,4347.629,0.0,869396.777,2882078,9.085227272727272,9.252954545454545,6.7929545454545455,11.293636363636363
